codigo,grado,seccion,grupo,momento,suma_notas,n_notas,dias_asistidos,dias_programados,reuniones_asistidas,reuniones_programadas
EST-001,3,A,control,pre,182.5,10,31,43,1,3
EST-002,3,B,control,pre,107.9,10,43,43,0,1
EST-003,4,B,experimental,pre,134.8,9,33,43,0,1
EST-004,4,B,experimental,pre,153.0,9,42,50,2,3
EST-005,3,A,control,pre,99.5,10,40,44,2,2
EST-006,3,B,control,pre,63.7,10,43,49,0,1
EST-007,4,A,experimental,pre,137.9,9,35,43,1,3
EST-008,3,B,control,pre,92.1,9,39,40,1,2
EST-009,3,B,control,pre,172.4,9,32,42,2,2
EST-010,3,A,control,pre,151.3,9,40,43,1,1
EST-011,3,B,control,pre,164.1,10,27,44,1,1
EST-012,3,B,control,pre,122.2,10,40,40,3,3
EST-013,4,B,experimental,pre,113.2,9,31,40,0,2
EST-014,4,A,experimental,pre,146.1,10,43,43,2,3
EST-015,4,B,experimental,pre,143.8,9,37,41,1,1
EST-016,3,A,control,pre,146.0,10,44,48,1,1
EST-017,3,B,control,pre,155.5,9,45,45,0,3
EST-018,3,A,control,pre,61.6,9,37,42,2,2
EST-019,4,B,experimental,pre,128.5,9,35,42,1,1
EST-020,3,A,control,pre,160.0,10,42,43,3,3
