codigo,grado,seccion,grupo,momento,suma_notas,n_notas,dias_asistidos,dias_programados,reuniones_asistidas,reuniones_programadas,anio,deserto
EST-001,3,B,control,pre,157.5,10,54,54,0,2,2024,0
EST-002,3,B,control,pre,98.5,9,53,55,2,3,2024,0
EST-003,3,A,control,pre,95.6,9,55,56,1,2,2024,0
EST-004,4,A,experimental,pre,122.2,10,56,60,1,2,2024,0
EST-005,4,B,experimental,pre,107.7,9,47,65,2,2,2024,0
EST-006,3,A,control,pre,139.1,9,60,64,1,3,2024,0
EST-007,4,A,experimental,pre,127.5,9,56,59,2,4,2024,0
EST-008,3,A,control,pre,120.9,10,44,55,3,3,2024,0
EST-009,4,B,experimental,pre,125.9,9,57,61,1,2,2024,0
EST-010,4,B,experimental,pre,116.3,9,44,65,1,4,2024,1
EST-011,3,B,control,pre,125.8,9,53,56,2,3,2024,1
EST-012,3,A,control,pre,89.2,9,46,59,2,3,2024,0
EST-013,3,A,control,pre,110.1,9,44,53,0,3,2024,0
EST-014,3,A,control,pre,107.8,10,54,54,1,2,2024,0
EST-015,4,A,experimental,pre,112.3,9,46,47,3,4,2024,1
EST-016,3,A,control,pre,137.2,10,49,55,2,4,2024,0
EST-017,4,A,experimental,pre,141.6,10,53,53,1,2,2024,0
EST-018,3,B,control,pre,96.5,9,42,65,2,3,2024,0
EST-019,3,A,control,pre,144.1,9,61,61,2,4,2024,0
EST-020,3,B,control,pre,99.6,9,42,56,1,3,2024,0
EST-021,4,A,experimental,pre,76.3,9,44,56,1,2,2024,0
EST-022,3,A,control,pre,108.0,9,46,65,1,2,2024,0
EST-023,3,B,control,pre,162.9,10,46,51,1,3,2024,1
EST-024,4,B,experimental,pre,88.4,9,57,65,4,4,2024,0
EST-025,3,B,control,pre,127.4,9,40,51,2,3,2024,1
EST-026,3,A,control,pre,94.0,10,45,45,1,2,2024,0
EST-027,4,B,experimental,pre,97.3,9,46,49,1,2,2024,1
EST-028,4,A,experimental,pre,123.9,9,24,45,2,4,2024,0
EST-029,3,A,control,pre,162.5,10,40,61,1,4,2024,0
EST-030,3,B,control,pre,175.1,10,41,55,1,2,2024,0
EST-031,4,A,experimental,pre,141.8,10,47,47,0,2,2024,0
EST-032,4,B,experimental,pre,144.5,10,43,58,1,2,2024,0
EST-033,4,B,experimental,pre,200.0,10,49,63,2,2,2024,0
EST-034,3,A,control,pre,179.0,9,34,50,2,2,2024,1
EST-035,3,B,control,pre,168.2,9,34,48,3,4,2024,0
EST-036,3,B,control,pre,84.4,9,45,56,1,2,2024,0
EST-037,4,B,experimental,pre,145.6,10,45,53,1,4,2024,1
EST-038,4,B,experimental,pre,178.0,9,53,58,1,3,2024,0
EST-039,3,A,control,pre,74.4,9,63,64,1,4,2024,0
EST-040,4,B,experimental,pre,126.2,10,49,60,1,2,2024,0
EST-041,4,A,experimental,pre,143.9,10,46,58,2,3,2024,1
EST-042,3,B,control,pre,112.6,9,37,54,1,3,2024,0
EST-043,4,A,experimental,pre,148.2,10,51,51,2,3,2024,0
EST-044,4,A,experimental,pre,148.2,9,44,45,1,2,2024,1
EST-045,4,B,experimental,pre,87.8,10,39,46,1,4,2024,0
EST-046,4,B,experimental,pre,104.6,10,31,46,1,2,2024,0
EST-047,3,B,control,pre,129.7,9,46,54,4,4,2024,0
EST-048,4,B,experimental,pre,78.8,9,54,60,2,2,2024,0
EST-049,4,A,experimental,pre,142.0,10,56,63,2,4,2024,1
EST-050,3,A,control,pre,103.2,10,60,60,1,3,2024,0
EST-051,4,A,experimental,pre,157.4,9,51,52,3,4,2024,0
EST-052,4,A,experimental,pre,164.8,9,39,45,4,4,2024,0
EST-053,4,A,experimental,pre,133.4,9,50,54,0,4,2024,0
EST-054,4,B,experimental,pre,133.9,9,39,45,1,2,2024,1
EST-055,3,A,control,pre,126.8,9,47,48,1,2,2024,1
EST-056,4,A,experimental,pre,67.7,9,41,65,0,4,2024,0
EST-057,4,B,experimental,pre,150.9,9,61,61,1,3,2024,0
EST-058,3,A,control,pre,117.2,10,44,62,2,4,2024,0
EST-059,4,B,experimental,pre,103.8,10,42,46,0,2,2024,1
EST-060,4,B,experimental,pre,92.6,9,52,57,1,3,2024,1
EST-061,3,B,control,pre,90.7,10,51,51,2,2,2024,0
EST-062,4,B,experimental,pre,174.2,9,40,47,1,2,2024,0
EST-063,4,B,experimental,pre,130.0,9,42,58,0,4,2024,1
EST-064,3,A,control,pre,173.8,9,34,48,1,2,2024,0
EST-065,4,B,experimental,pre,124.8,10,51,51,1,2,2024,0
EST-066,3,B,control,pre,137.7,10,40,47,2,4,2024,0
EST-067,4,B,experimental,pre,138.0,9,52,55,2,4,2024,0
EST-068,4,A,experimental,pre,146.8,9,37,46,0,4,2024,0
EST-069,4,A,experimental,pre,80.9,9,23,57,3,3,2024,1
EST-070,4,B,experimental,pre,88.2,10,52,60,1,3,2024,0
EST-071,3,A,control,pre,161.9,10,48,48,1,4,2024,1
EST-072,4,B,experimental,pre,109.6,9,44,51,1,2,2024,1
EST-073,3,A,control,pre,133.7,9,39,64,1,2,2024,0
EST-074,3,A,control,pre,76.0,9,55,62,2,4,2024,0
EST-075,4,A,experimental,pre,156.2,10,49,52,3,4,2024,0
EST-076,4,A,experimental,pre,125.8,10,35,51,0,3,2024,1
EST-077,4,B,experimental,pre,112.0,10,57,58,1,2,2024,0
EST-078,3,A,control,pre,82.4,9,50,56,0,2,2024,0
EST-079,4,B,experimental,pre,127.4,10,50,55,0,3,2024,0
EST-080,4,A,experimental,pre,175.4,9,44,61,2,3,2024,0
EST-081,3,A,control,pre,85.4,10,39,60,1,3,2024,1
EST-082,4,A,experimental,pre,150.5,10,46,46,1,4,2024,0
EST-083,3,B,control,pre,76.0,9,42,45,2,3,2024,0
EST-084,3,A,control,pre,96.5,10,47,53,1,4,2024,0
EST-085,3,A,control,pre,116.4,10,51,55,2,4,2024,1
EST-086,3,A,control,pre,183.3,10,48,61,0,4,2024,1
EST-087,4,B,experimental,pre,152.4,10,45,48,2,3,2024,1
EST-088,4,B,experimental,pre,117.7,9,28,47,2,3,2024,0
EST-089,3,A,control,pre,91.7,9,49,52,1,3,2024,1
EST-090,3,A,control,pre,75.8,9,46,65,2,4,2024,1
EST-091,4,A,experimental,pre,119.3,10,30,64,1,2,2024,1
EST-092,4,A,experimental,pre,130.9,9,47,52,3,4,2024,0
EST-093,4,A,experimental,pre,172.6,10,42,55,1,2,2024,1
EST-094,4,A,experimental,pre,180.0,10,42,53,2,3,2024,1
EST-095,4,B,experimental,pre,111.5,10,24,47,1,3,2024,1
EST-096,3,A,control,pre,93.7,9,58,58,1,3,2024,0
EST-097,3,A,control,pre,121.1,9,51,53,1,3,2024,0
EST-098,4,A,experimental,pre,140.0,9,39,56,2,4,2024,1
EST-099,4,A,experimental,pre,178.8,10,53,59,0,2,2024,0
EST-100,4,A,experimental,pre,136.3,9,45,51,1,2,2024,1
EST-101,3,A,control,pre,165.1,10,58,58,0,2,2024,0
EST-102,4,B,experimental,pre,150.5,10,45,63,2,4,2024,0
EST-103,4,B,experimental,pre,169.1,10,46,65,1,2,2024,1
EST-104,3,B,control,pre,141.5,9,56,62,0,2,2024,1
EST-105,4,B,experimental,pre,186.9,10,59,59,2,2,2024,0
EST-106,4,B,experimental,pre,146.9,10,40,61,1,3,2024,0
EST-107,4,B,experimental,pre,128.2,9,40,47,1,3,2024,1
EST-108,4,A,experimental,pre,150.3,10,30,52,1,3,2024,1
EST-109,4,B,experimental,pre,109.6,10,34,50,2,3,2024,0
EST-110,3,A,control,pre,97.7,10,42,48,1,3,2024,0
EST-111,3,A,control,pre,144.3,10,36,46,1,2,2024,1
EST-112,4,B,experimental,pre,90.1,9,30,52,2,3,2024,0
EST-113,3,B,control,pre,146.9,10,60,60,1,3,2024,0
EST-114,3,B,control,pre,160.0,9,43,54,4,4,2024,0
EST-115,4,B,experimental,pre,146.0,10,53,53,1,3,2024,0
EST-116,4,B,experimental,pre,146.0,9,46,52,2,3,2024,0
EST-117,3,A,control,pre,95.0,9,41,65,2,3,2024,1
EST-118,4,B,experimental,pre,110.5,9,39,46,2,3,2024,0
EST-119,3,B,control,pre,76.2,10,47,55,1,2,2024,0
EST-120,3,A,control,pre,101.7,10,36,52,2,4,2024,0
EST-121,3,A,control,pre,110.0,10,48,62,2,3,2024,0
EST-122,3,A,control,pre,109.1,10,37,60,1,2,2024,0
EST-123,3,A,control,pre,196.8,10,52,64,2,4,2024,0
EST-124,3,B,control,pre,136.5,9,48,48,2,2,2024,0
EST-125,4,A,experimental,pre,112.9,9,36,50,1,2,2024,0
EST-126,4,A,experimental,pre,147.4,10,53,62,2,3,2024,0
EST-127,4,B,experimental,pre,137.4,9,33,48,2,2,2024,0
EST-128,3,A,control,pre,134.8,9,41,46,1,3,2024,0
EST-129,3,B,control,pre,83.3,10,55,60,1,4,2024,1
EST-130,4,A,experimental,pre,200.0,10,42,46,4,4,2024,0
EST-131,3,B,control,pre,94.1,10,37,45,3,4,2024,1
EST-132,3,B,control,pre,141.7,10,34,48,1,4,2024,0
EST-133,4,B,experimental,pre,134.0,9,34,54,2,3,2024,1
EST-134,3,B,control,pre,130.4,9,56,60,2,4,2024,0
EST-135,3,B,control,pre,174.4,10,43,52,3,4,2024,0
EST-136,4,A,experimental,pre,119.9,9,42,53,2,3,2024,1
EST-137,3,B,control,pre,141.9,9,53,58,4,4,2024,0
EST-138,3,B,control,pre,93.9,9,39,48,1,2,2024,0
EST-139,4,B,experimental,pre,153.5,10,26,49,0,4,2024,0
