codigo,grado,seccion,grupo,momento,suma_notas,n_notas,dias_asistidos,dias_programados,reuniones_asistidas,reuniones_programadas,anio,deserto,promedio,pct_asistencia,pct_reuniones
EST-001,3,B,control,pre,157.5,10,44,44,0,1,2024,0,15.75,100.0,0.0
EST-002,3,B,control,pre,98.5,9,44,45,1,2,2024,0,10.94,97.78,50.0
EST-003,3,A,control,pre,95.6,9,45,46,0,1,2024,0,10.62,97.83,0.0
EST-004,4,A,experimental,pre,122.2,10,45,48,1,1,2024,0,12.22,93.75,100.0
EST-005,4,B,experimental,pre,107.7,9,36,50,1,1,2024,0,11.97,72.0,100.0
EST-006,3,A,control,pre,139.1,9,47,50,1,2,2024,0,15.46,94.0,50.0
EST-007,4,A,experimental,pre,127.5,9,45,47,2,3,2024,0,14.17,95.74,66.67
EST-008,3,A,control,pre,120.9,10,36,45,2,2,2024,0,12.09,80.0,100.0
EST-009,4,B,experimental,pre,125.9,9,45,48,1,1,2024,0,13.99,93.75,100.0
EST-010,4,B,experimental,pre,116.3,9,34,50,1,3,2024,1,12.92,68.0,33.33
EST-011,3,B,control,pre,125.8,9,43,46,1,2,2024,1,13.98,93.48,50.0
EST-012,3,A,control,pre,89.2,9,37,47,1,2,2024,0,9.91,78.72,50.0
EST-013,3,A,control,pre,110.1,9,37,44,0,2,2024,0,12.23,84.09,0.0
EST-014,3,A,control,pre,107.8,10,45,45,0,1,2024,0,10.78,100.0,0.0
EST-015,4,A,experimental,pre,112.3,9,40,41,2,3,2024,1,12.48,97.56,66.67
EST-016,3,A,control,pre,137.2,10,40,45,2,3,2024,0,13.72,88.89,66.67
EST-017,4,A,experimental,pre,141.6,10,44,44,1,1,2024,0,14.16,100.0,100.0
EST-018,3,B,control,pre,96.5,9,32,50,1,2,2024,0,10.72,64.0,50.0
EST-019,3,A,control,pre,144.1,9,48,48,2,3,2024,0,16.01,100.0,66.67
EST-020,3,B,control,pre,99.6,9,34,45,1,2,2024,0,11.07,75.56,50.0
EST-021,4,A,experimental,pre,76.3,9,36,46,1,1,2024,0,8.48,78.26,100.0
EST-022,3,A,control,pre,108.0,9,35,50,0,1,2024,0,12.0,70.0,0.0
EST-023,3,B,control,pre,162.9,10,39,43,1,2,2024,0,16.29,90.7,50.0
EST-024,4,B,experimental,pre,88.4,9,44,50,3,3,2024,0,9.82,88.0,100.0
EST-025,3,B,control,pre,127.4,9,34,43,1,2,2024,1,14.16,79.07,50.0
EST-026,3,A,control,pre,94.0,10,40,40,0,1,2024,0,9.4,100.0,0.0
EST-027,4,B,experimental,pre,97.3,9,40,42,0,1,2024,1,10.81,95.24,0.0
EST-028,4,A,experimental,pre,123.9,9,22,40,1,3,2024,0,13.77,55.0,33.33
EST-029,3,A,control,pre,162.5,10,31,48,1,3,2024,0,16.25,64.58,33.33
EST-030,3,B,control,pre,175.1,10,34,45,0,1,2024,0,17.51,75.56,0.0
EST-031,4,A,experimental,pre,141.8,10,41,41,0,1,2024,0,14.18,100.0,0.0
EST-032,4,B,experimental,pre,144.5,10,35,47,0,1,2024,0,14.45,74.47,0.0
EST-033,4,B,experimental,pre,200.0,10,38,49,1,1,2024,0,20.0,77.55,100.0
EST-034,3,A,control,pre,179.0,9,29,42,1,1,2024,1,19.89,69.05,100.0
EST-035,3,B,control,pre,168.2,9,29,41,2,3,2024,0,18.69,70.73,66.67
EST-036,3,B,control,pre,84.4,9,36,45,1,1,2024,0,9.38,80.0,100.0
EST-037,4,B,experimental,pre,145.6,10,38,44,1,3,2024,1,14.56,86.36,33.33
EST-038,4,B,experimental,pre,178.0,9,43,47,1,2,2024,0,19.78,91.49,50.0
EST-039,3,A,control,pre,74.4,9,49,50,1,3,2024,0,8.27,98.0,33.33
EST-040,4,B,experimental,pre,126.2,10,39,48,1,1,2024,0,12.62,81.25,100.0
EST-041,4,A,experimental,pre,143.9,10,37,47,1,2,2024,1,14.39,78.72,50.0
EST-042,3,B,control,pre,112.6,9,30,44,1,2,2024,0,12.51,68.18,50.0
EST-043,4,A,experimental,pre,148.2,10,43,43,1,2,2024,0,14.82,100.0,50.0
EST-044,4,A,experimental,pre,148.2,9,39,40,0,1,2024,1,16.47,97.5,0.0
EST-045,4,B,experimental,pre,87.8,10,34,40,1,3,2024,0,8.78,85.0,33.33
EST-046,4,B,experimental,pre,104.6,10,27,40,0,1,2024,0,10.46,67.5,0.0
EST-047,3,B,control,pre,129.7,9,39,45,3,3,2024,0,14.41,86.67,100.0
EST-048,4,B,experimental,pre,78.8,9,43,47,1,1,2024,0,8.76,91.49,100.0
EST-049,4,A,experimental,pre,142.0,10,44,49,1,3,2024,1,14.2,89.8,33.33
EST-050,3,A,control,pre,103.2,10,48,48,1,2,2024,0,10.32,100.0,50.0
EST-051,4,A,experimental,pre,157.4,9,43,44,2,3,2024,0,17.49,97.73,66.67
EST-052,4,A,experimental,pre,164.8,9,35,40,3,3,2024,0,18.31,87.5,100.0
EST-053,4,A,experimental,pre,133.4,9,41,44,0,3,2024,0,14.82,93.18,0.0
EST-054,4,B,experimental,pre,133.9,9,35,40,1,1,2024,1,14.88,87.5,100.0
EST-055,3,A,control,pre,126.8,9,40,41,1,1,2024,1,14.09,97.56,100.0
EST-056,4,A,experimental,pre,67.7,9,31,50,0,3,2024,0,7.52,62.0,0.0
EST-057,4,B,experimental,pre,150.9,9,48,48,1,2,2024,0,16.77,100.0,50.0
EST-058,3,A,control,pre,117.2,10,34,48,1,3,2024,0,11.72,70.83,33.33
EST-059,4,B,experimental,pre,103.8,10,37,40,0,1,2024,1,10.38,92.5,0.0
EST-060,4,B,experimental,pre,92.6,9,42,46,1,2,2024,1,10.29,91.3,50.0
EST-061,3,B,control,pre,90.7,10,43,43,1,1,2024,0,9.07,100.0,100.0
EST-062,4,B,experimental,pre,174.2,9,35,41,1,1,2024,0,19.36,85.37,100.0
EST-063,4,B,experimental,pre,130.0,9,33,46,0,3,2024,1,14.44,71.74,0.0
EST-064,3,A,control,pre,173.8,9,29,41,1,1,2024,0,19.31,70.73,100.0
EST-065,4,B,experimental,pre,124.8,10,43,43,1,1,2024,0,12.48,100.0,100.0
EST-066,3,B,control,pre,137.7,10,35,41,1,3,2024,0,13.77,85.37,33.33
EST-067,4,B,experimental,pre,138.0,9,43,45,2,3,2024,0,15.33,95.56,66.67
EST-068,4,A,experimental,pre,146.8,9,32,40,0,3,2024,0,16.31,80.0,0.0
EST-069,4,A,experimental,pre,80.9,9,19,46,2,2,2024,1,8.99,41.3,100.0
EST-070,4,B,experimental,pre,88.2,10,42,48,1,2,2024,0,8.82,87.5,50.0
EST-071,3,A,control,pre,161.9,10,41,41,1,3,2024,1,16.19,100.0,33.33
EST-072,4,B,experimental,pre,109.6,9,37,43,1,1,2024,1,12.18,86.05,100.0
EST-073,3,A,control,pre,133.7,9,30,49,0,1,2024,1,14.86,61.22,0.0
EST-074,3,A,control,pre,76.0,9,43,49,1,3,2024,0,8.44,87.76,33.33
EST-075,4,A,experimental,pre,156.2,10,42,44,2,3,2024,0,15.62,95.45,66.67
EST-076,4,A,experimental,pre,125.8,10,30,43,0,2,2024,0,12.58,69.77,0.0
EST-077,4,B,experimental,pre,112.0,10,45,46,0,1,2024,0,11.2,97.83,0.0
EST-078,3,A,control,pre,82.4,9,41,46,0,1,2024,0,9.16,89.13,0.0
EST-079,4,B,experimental,pre,127.4,10,41,45,0,2,2024,0,12.74,91.11,0.0
EST-080,4,A,experimental,pre,175.4,9,35,48,1,2,2024,0,19.49,72.92,50.0
EST-081,3,A,control,pre,85.4,10,32,48,1,2,2024,1,8.54,66.67,50.0
EST-082,4,A,experimental,pre,150.5,10,40,40,1,3,2024,0,15.05,100.0,33.33
EST-083,3,B,control,pre,76.0,9,37,40,1,2,2024,0,8.44,92.5,50.0
EST-084,3,A,control,pre,96.5,10,39,44,1,3,2024,0,9.65,88.64,33.33
EST-085,3,A,control,pre,116.4,10,41,45,1,3,2024,1,11.64,91.11,33.33
EST-086,3,A,control,pre,183.3,10,38,48,0,3,2024,1,18.33,79.17,0.0
EST-087,4,B,experimental,pre,152.4,10,39,42,1,2,2024,1,15.24,92.86,50.0
EST-088,4,B,experimental,pre,117.7,9,24,41,1,2,2024,0,13.08,58.54,50.0
EST-089,3,A,control,pre,91.7,9,41,44,0,2,2024,1,10.19,93.18,0.0
EST-090,3,A,control,pre,75.8,9,36,50,1,3,2024,1,8.42,72.0,33.33
EST-091,4,A,experimental,pre,119.3,10,23,49,1,1,2024,1,11.93,46.94,100.0
EST-092,4,A,experimental,pre,130.9,9,39,43,2,3,2024,0,14.54,90.7,66.67
EST-093,4,A,experimental,pre,172.6,10,35,45,0,1,2024,1,17.26,77.78,0.0
EST-094,4,A,experimental,pre,180.0,10,35,44,1,2,2024,1,18.0,79.55,50.0
EST-095,4,B,experimental,pre,111.5,10,21,41,0,2,2024,1,11.15,51.22,0.0
EST-096,3,A,control,pre,93.7,9,46,46,0,2,2024,1,10.41,100.0,0.0
EST-097,3,A,control,pre,121.1,9,42,44,1,2,2024,0,13.46,95.45,50.0
EST-098,4,A,experimental,pre,140.0,9,32,46,1,3,2024,1,15.56,69.57,33.33
EST-099,4,A,experimental,pre,178.8,10,42,47,0,1,2024,0,17.88,89.36,0.0
EST-100,4,A,experimental,pre,136.3,9,38,43,1,1,2024,1,15.14,88.37,100.0
EST-101,3,A,control,pre,165.1,10,46,46,0,1,2024,0,16.51,100.0,0.0
EST-102,4,B,experimental,pre,150.5,10,35,49,2,3,2024,0,15.05,71.43,66.67
EST-103,4,B,experimental,pre,169.1,10,36,50,1,1,2024,0,16.91,72.0,100.0
EST-104,3,B,control,pre,141.5,9,44,49,0,1,2024,1,15.72,89.8,0.0
EST-105,4,B,experimental,pre,186.9,10,47,47,1,1,2024,0,18.69,100.0,100.0
EST-106,4,B,experimental,pre,146.9,10,31,48,1,2,2024,0,14.69,64.58,50.0
EST-107,4,B,experimental,pre,128.2,9,35,41,0,2,2024,1,14.24,85.37,0.0
EST-108,4,A,experimental,pre,150.3,10,25,43,1,2,2024,1,15.03,58.14,50.0
EST-109,4,B,experimental,pre,109.6,10,29,42,1,2,2024,0,10.96,69.05,50.0
EST-110,3,A,control,pre,97.7,10,36,41,1,2,2024,0,9.77,87.8,50.0
EST-111,3,A,control,pre,144.3,10,32,41,1,1,2024,0,14.43,78.05,100.0
EST-112,4,B,experimental,pre,90.1,9,25,43,1,2,2024,0,10.01,58.14,50.0
EST-113,3,B,control,pre,146.9,10,48,48,1,2,2024,0,14.69,100.0,50.0
EST-114,3,B,control,pre,160.0,9,35,44,3,3,2024,0,17.78,79.55,100.0
EST-115,4,B,experimental,pre,146.0,10,44,44,1,2,2024,0,14.6,100.0,50.0
EST-116,4,B,experimental,pre,146.0,9,38,43,1,2,2024,0,16.22,88.37,50.0
EST-117,3,A,control,pre,95.0,9,32,50,1,2,2024,1,10.56,64.0,50.0
EST-118,4,B,experimental,pre,110.5,9,34,40,1,2,2024,0,12.28,85.0,50.0
EST-119,3,B,control,pre,76.2,10,38,45,0,1,2024,0,7.62,84.44,0.0
